Timestamp,Age,Gender,"Height (scale in cm, e.g. 183)",Where are you come from? (Country),Were your parents born from the same country as you?,How many language you speak at home to your family?,Religion denomination,Which academic field are you studying?,How many different countries have you lived in?,What is the temperature in degrees celsius right now?,Past intercultural experience: have you ever done one of the following international programs?,Indicate how strong you agree/disagree with the following sentence: [Q1. I enjoy being with people who have different values],Indicate how strong you agree/disagree with the following sentence: [Q2. I would rather work with someone who is like me than with someone who is different],Indicate how strong you agree/disagree with the following sentence: [Q3. I prefer being with people who have similar ways of thinking and values to mine],Indicate how strong you agree/disagree with the following sentence: [Q4. I often read and watch news about foreign countries],Indicate how strong you agree/disagree with the following sentence: [Q5. I have strong interest in international affairs],Indicate how strong you agree/disagree with the following sentence: [Q6. I often talk about situations and events in foreign countries with family and or friends],Indicate how strong you agree/disagree with the following sentence: [Q7. I am very interested in volunteer work in developing countries],Indicate how strong you agree/disagree with the following sentence: [Q8. I plan to be involved in international volunteer activities],Q1. People like you,Q2. Your national companies,Q3. Creation of jobs,Q4. Our quality of life,Q5. your national cultural history and traditions,Q6. your ability to learn about other cultures,Q7. Democracy and human rights,Q8. Maintaining cultural diversity in the world,Q9. The environment,Q10. Spread out COVID19,Q11. I have changed my opinion about the positive impact of globalization on humankind due to COVID19
February,25,2,180,RU,no,3,Other Christian,Information and Communication Technologies,3,15,Studying school abroad,Agree,Strongly Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Disagree,Disagree,4,5,2,4,4,1,4,5,4,2,yes
April,39,6,167,UA,no,2,Hindu,Social Science,1,16,Volunteer service,Strongly Disagree,Disagree,Disagree,Disagree,Strongly Agree,Disagree,Disagree,Strongly Disagree,1,4,3,3,1,5,1,2,5,3,no
July,33,6,199,PH,no,5,Don't know,Arts and Humanities,3,0,None,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,2,3,5,4,3,2,2,2,1,3,yes
February,19,4,169,ID,no,5,Other,Business & Admin and Law,3,25,Internship program,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Disagree,1,3,4,4,2,1,4,2,5,1,no
February,32,2,156,SE,no,1,Don't know,Social Science,4,-4,Volunteer service,Strongly Agree,Strongly Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Strongly Disagree,4,5,1,4,4,1,2,1,3,2,yes
August,39,3,169,CN,yes,5,Do not belong to a any religion,Social Science,4,20,None,Strongly Agree,Agree,Disagree,Agree,Agree,Strongly Disagree,Agree,Strongly Disagree,3,5,3,3,3,1,4,3,1,5,no
July,25,10,153,BR,,3,Hindu,Arts and Humanities,2,-3,Volunteer service,Disagree,Disagree,Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,,,,,,,,,,,,
April,30,3,191,BI,,1,Hindu,Business & Admin and Law,2,23,None,Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,,,,,,,,,,,,
June,22,4,199,NG,yes,1,Jew,Information and Communication Technologies,1,22,Internship program,Strongly Agree,Strongly Disagree,Strongly Agree,Disagree,Agree,Strongly Agree,Disagree,Strongly Agree,1,4,5,4,5,2,3,2,3,3,yes
April,39,2,173,CN,,1,Roman Catholic,Social Science,1,1,Studying school abroad,Strongly Agree,Strongly Agree,Disagree,Agree,Disagree,Strongly Disagree,Strongly Disagree,,,,,,,,,,,,
February,20,7,189,RU,no,2,Buddhist,Arts and Humanities,5,9,Volunteer service,Strongly Agree,Strongly Disagree,Disagree,Strongly Agree,Disagree,Disagree,Agree,Strongly Disagree,2,4,4,4,3,2,4,5,5,4,no
August,36,8,159,GR,no,3,Other,Arts and Humanities,5,25,Volunteer service,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,3,4,5,5,5,1,2,1,5,3,yes
May,30,1,156,BR,no,,,Information and Communication Technologies,,,,Strongly Agree,Agree,,Disagree,Disagree,Disagree,Disagree,Strongly Agree,2,4,4,4,3,1,3,1,5,4,no
May,27,2,167,ID,yes,3,Don't know,Arts and Humanities,1,-3,Internship program,,,Agree,,Disagree,Disagree,Disagree,Strongly Disagree,2,3,1,5,3,1,3,4,1,1,yes
August,26,4,151,ID,no,2,Other Christian,Business & Admin and Law,2,2,Volunteer service,Disagree,Strongly Agree,Agree,Strongly Agree,Agree,Disagree,Agree,Strongly Disagree,2,3,2,2,3,4,3,4,3,3,no
May,40,6,189,SN,yes,,,Business & Admin and Law,,,,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Disagree,4,3,1,3,5,4,2,2,3,2,yes
August,34,9,159,BR,,5,Jew,Arts and Humanities,2,8,Internship program,,,Strongly Agree,,Strongly Disagree,Agree,Disagree,,,,,,,,,,,,
June,27,1,183,US,yes,2,Roman Catholic,Information and Communication Technologies,3,-4,None,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Disagree,Strongly Disagree,Agree,Disagree,1,2,5,3,1,4,3,2,5,4,no
May,31,3,175,AM,no,5,Buddhist,Social Science,1,8,Studying school abroad,,,Strongly Disagree,,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,5,2,3,1,4,2,5,1,5,5,yes
August,39,4,180,UA,yes,1,Other Christian,Natural Science,3,10,Studying school abroad,Strongly Disagree,Strongly Agree,Strongly Agree,Disagree,Agree,Agree,Strongly Agree,Agree,2,5,4,5,3,3,1,4,5,1,no
February,40,5,187,SE,,5,Jew,Mathematics and Statistics,5,18,Volunteer service,Strongly Disagree,Strongly Agree,Disagree,Disagree,Agree,Strongly Disagree,Strongly Disagree,,,,,,,,,,,,
June,23,9,157,FR,no,4,Orthodox,Mathematics and Statistics,5,8,Studying school abroad,,,,,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,4,5,2,4,2,2,1,2,4,5,yes
February,21,1,187,CZ,no,2,Orthodox,Arts and Humanities,1,20,Studying school abroad,Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Disagree,Disagree,Disagree,Disagree,1,4,3,1,1,2,4,3,5,4,no
March,35,5,150,NL,no,3,Hindu,Mathematics and Statistics,3,9,Volunteer service,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Disagree,3,3,2,4,2,2,2,2,3,2,yes
August,35,5,166,PH,yes,1,Orthodox,Information and Communication Technologies,1,17,Studying school abroad,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,2,1,5,5,3,2,2,5,3,2,yes
August,34,3,174,PL,yes,1,Don't know,Mathematics and Statistics,4,17,Studying school abroad,,,Disagree,,Agree,Strongly Agree,Agree,Strongly Agree,3,5,4,4,1,4,3,3,3,5,yes
June,24,1,174,CR,yes,1,Orthodox,Business & Admin and Law,3,5,Studying school abroad,Agree,Strongly Agree,,Disagree,Agree,Disagree,Strongly Disagree,Agree,4,5,4,4,4,2,5,1,1,5,yes
August,38,1,181,PH,yes,3,Other Christian,Mathematics and Statistics,1,-4,Studying school abroad,Strongly Agree,Agree,Strongly Disagree,Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,3,4,1,5,1,1,1,5,4,5,yes
February,36,3,172,AU,yes,2,Hindu,Arts and Humanities,2,2,Volunteer service,Disagree,Disagree,,Agree,Strongly Disagree,Strongly Agree,Agree,Disagree,2,3,4,5,3,3,5,3,5,4,yes
February,,6,172,PH,yes,4,Other Christian,Natural Science,4,0,Internship program,Disagree,Strongly Disagree,Agree,Agree,Agree,Agree,Agree,Agree,4,1,1,3,5,1,2,5,3,5,no
March,39,4,164,PL,no,5,Orthodox,Business & Admin and Law,4,16,Internship program,Agree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,5,5,1,4,5,4,1,5,1,2,yes
May,18,1,189,ID,yes,1,Roman Catholic,Natural Science,2,27,Studying school abroad,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,Agree,Disagree,Agree,4,4,3,3,2,5,2,4,1,2,no
April,30,4,161,ID,yes,1,Protestant,Mathematics and Statistics,3,18,Volunteer service,Agree,Strongly Disagree,Agree,Agree,Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,4,3,5,4,3,4,1,2,5,4,yes
June,38,3,192,CN,no,3,Hindu,Mathematics and Statistics,4,8,None,Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Disagree,Strongly Agree,Agree,3,2,2,4,3,2,3,3,3,1,yes
August,29,3,176,RU,yes,4,Do not belong to a any religion,Mathematics and Statistics,5,-5,Studying school abroad,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,4,2,5,3,1,3,1,3,5,5,yes
June,32,9,177,CN,yes,2,Hindu,Arts and Humanities,3,19,Internship program,Strongly Disagree,Agree,Disagree,Agree,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,3,3,5,1,3,1,1,3,2,1,yes
June,38,1,195,RU,yes,2,Roman Catholic,Natural Science,3,18,Internship program,Strongly Disagree,Disagree,,Disagree,Strongly Disagree,Strongly Agree,Agree,Agree,2,5,2,4,3,1,1,1,5,3,no
August,37,9,153,ID,yes,2,Other,Arts and Humanities,5,22,Internship program,Strongly Disagree,Disagree,Agree,Agree,Strongly Agree,Strongly Disagree,Disagree,Strongly Agree,3,5,1,2,1,5,3,5,3,4,yes
May,,6,185,CN,no,4,Hindu,Arts and Humanities,1,12,Studying school abroad,Strongly Agree,Disagree,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,3,5,2,1,5,5,1,1,5,2,yes
March,34,3,162,VN,no,2,Other,Business & Admin and Law,3,-1,Volunteer service,Strongly Agree,Strongly Agree,Agree,Disagree,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,5,1,1,2,5,4,3,4,2,1,yes
March,21,9,187,CN,no,4,Hindu,Mathematics and Statistics,5,12,Studying school abroad,Strongly Agree,Disagree,Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,2,2,5,2,2,2,4,3,2,4,no
August,33,9,191,CN,yes,3,Protestant,Business & Admin and Law,2,16,None,Strongly Agree,Strongly Agree,,Strongly Disagree,Agree,Agree,Disagree,Disagree,3,5,4,2,4,2,4,3,3,1,yes
March,19,10,155,CZ,no,4,Orthodox,Arts and Humanities,2,4,Studying school abroad,Strongly Disagree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Agree,Disagree,4,5,2,3,1,1,2,1,1,1,yes
May,26,4,157,CN,yes,1,Protestant,Information and Communication Technologies,3,22,Internship program,Disagree,Agree,Disagree,Strongly Agree,Strongly Agree,Disagree,Agree,Strongly Disagree,4,2,5,1,2,5,4,2,5,4,yes
February,29,10,152,PH,yes,3,Do not belong to a any religion,Business & Admin and Law,2,-4,Studying school abroad,Strongly Disagree,Strongly Agree,,Agree,Disagree,Agree,Agree,Strongly Agree,5,3,2,2,5,5,3,3,2,4,yes
May,34,9,151,CN,no,4,Jew,Mathematics and Statistics,3,-2,Volunteer service,Agree,Strongly Agree,Disagree,Agree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,2,1,2,3,2,3,3,2,2,2,yes
April,21,6,161,HR,,1,Buddhist,Social Science,4,-2,None,Agree,Strongly Disagree,Disagree,Disagree,Disagree,Strongly Agree,Disagree,,,,,,,,,,,,
July,27,7,192,FR,yes,4,Roman Catholic,Natural Science,4,27,Studying school abroad,Strongly Disagree,Disagree,Strongly Agree,Strongly Disagree,Agree,Disagree,Strongly Agree,Agree,2,2,1,1,5,5,4,3,3,1,no
August,39,3,151,ID,yes,,,Mathematics and Statistics,,,,Agree,Disagree,Agree,Agree,Strongly Disagree,Agree,Strongly Agree,Agree,3,5,1,3,3,2,2,3,4,2,yes
June,22,10,180,CN,no,2,Orthodox,Mathematics and Statistics,5,8,Volunteer service,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,2,5,1,2,1,1,2,5,5,1,yes
August,21,4,194,PL,no,5,Don't know,Social Science,3,5,Internship program,Disagree,Agree,Disagree,Strongly Disagree,Agree,Disagree,Disagree,Agree,5,1,2,2,1,3,4,1,5,3,no
May,23,10,162,NO,no,4,Hindu,Mathematics and Statistics,5,14,Studying school abroad,Disagree,Strongly Agree,Agree,Strongly Agree,Disagree,Disagree,Strongly Agree,Strongly Disagree,3,1,2,2,4,3,5,1,1,4,no
June,30,1,182,CN,yes,4,Roman Catholic,Mathematics and Statistics,2,12,None,Strongly Agree,Disagree,,Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,1,1,4,3,5,4,2,4,2,2,no
March,30,10,159,JP,no,5,Orthodox,Information and Communication Technologies,3,3,Internship program,Disagree,Strongly Disagree,,Disagree,Strongly Agree,Disagree,Disagree,Disagree,5,2,3,3,4,2,3,1,2,1,no
July,32,10,182,CN,yes,1,Protestant,Social Science,5,19,Studying school abroad,Strongly Disagree,Strongly Agree,Disagree,Agree,Agree,Strongly Disagree,Strongly Agree,Disagree,1,5,3,5,2,3,4,1,4,2,no
April,,5,191,TH,no,5,Do not belong to a any religion,Social Science,1,24,Internship program,Strongly Agree,Disagree,Agree,Strongly Disagree,Disagree,Agree,Strongly Disagree,Strongly Agree,3,2,2,5,2,5,5,5,2,5,yes
March,33,10,184,CN,yes,3,Other,Mathematics and Statistics,5,2,Volunteer service,Strongly Disagree,Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Disagree,3,1,1,1,3,5,1,1,4,2,no
March,40,4,186,BH,no,1,Do not belong to a any religion,Arts and Humanities,5,15,Studying school abroad,Disagree,Strongly Disagree,,Agree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,1,4,5,5,3,5,1,1,4,3,yes
April,29,3,187,SY,yes,3,Buddhist,Information and Communication Technologies,3,15,Studying school abroad,,,Strongly Agree,,Strongly Disagree,Disagree,Disagree,Disagree,1,1,2,2,4,1,1,4,2,5,no
May,36,5,191,CN,yes,4,Buddhist,Social Science,4,-1,Volunteer service,Strongly Disagree,Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Disagree,Strongly Disagree,5,3,3,5,4,3,1,3,1,3,no
May,28,1,175,CZ,no,3,Jew,Social Science,1,22,None,Strongly Disagree,Agree,Agree,Strongly Disagree,Strongly Disagree,Agree,Disagree,Disagree,2,5,5,2,1,3,4,2,3,5,yes
August,39,4,189,TN,yes,3,Roman Catholic,Information and Communication Technologies,1,-1,Volunteer service,Strongly Disagree,Disagree,,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,4,2,1,1,5,5,5,1,1,5,yes
June,35,8,171,ID,no,1,Don't know,Business & Admin and Law,3,18,Studying school abroad,,,Disagree,,Agree,Strongly Agree,Agree,Disagree,5,5,5,5,2,4,1,3,2,3,yes
February,32,6,166,RS,no,2,Don't know,Information and Communication Technologies,1,2,Internship program,Disagree,Strongly Agree,Agree,Disagree,Strongly Agree,Agree,Strongly Disagree,Agree,3,4,2,5,3,4,2,5,3,3,no
August,22,4,194,PH,,2,Roman Catholic,Business & Admin and Law,1,11,Volunteer service,Strongly Disagree,Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,,,,,,,,,,,,
June,27,4,185,PT,no,4,Orthodox,Arts and Humanities,3,-3,Volunteer service,Strongly Disagree,Strongly Disagree,Agree,Agree,Disagree,Disagree,Strongly Agree,Strongly Agree,3,3,4,5,5,3,3,3,1,5,yes
May,28,8,170,EC,no,3,Hindu,Arts and Humanities,1,-2,Volunteer service,Strongly Disagree,Disagree,Agree,Disagree,Strongly Agree,Disagree,Agree,Agree,1,2,5,4,3,2,3,2,5,4,no
June,19,2,181,UA,yes,5,Protestant,Business & Admin and Law,2,9,Internship program,Strongly Disagree,Strongly Agree,Disagree,Strongly Disagree,Disagree,Strongly Agree,Disagree,Strongly Disagree,1,1,3,3,2,4,2,2,3,3,no
June,34,1,159,MN,yes,5,Protestant,Social Science,5,14,Volunteer service,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Disagree,Strongly Agree,Disagree,Disagree,4,3,5,1,1,5,4,5,4,2,no
August,30,7,179,ID,yes,4,Jew,Mathematics and Statistics,5,17,Internship program,Disagree,Agree,Agree,Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Disagree,5,5,1,4,1,3,2,4,4,2,yes
March,31,8,162,PL,,5,Jew,Arts and Humanities,3,-2,Volunteer service,Agree,Strongly Agree,Disagree,Disagree,Disagree,Strongly Agree,Disagree,,,,,,,,,,,,
May,28,10,156,ID,yes,5,Don't know,Mathematics and Statistics,2,25,Volunteer service,Agree,Disagree,Disagree,Disagree,Agree,Strongly Agree,Disagree,Strongly Agree,5,4,4,5,2,1,5,4,2,5,yes
August,34,9,182,GR,no,3,Other,Mathematics and Statistics,4,7,Internship program,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,Disagree,Agree,Strongly Agree,2,1,2,5,5,4,3,1,4,4,yes
March,27,2,188,FI,no,3,Protestant,Arts and Humanities,2,25,Volunteer service,Strongly Disagree,Disagree,Agree,Strongly Agree,Agree,Disagree,Strongly Agree,Agree,4,4,1,1,5,4,5,1,4,2,no
July,22,2,194,BA,yes,4,Buddhist,Social Science,5,-4,None,Strongly Disagree,Agree,Strongly Disagree,Agree,Disagree,Agree,Disagree,Strongly Disagree,1,2,4,2,2,4,4,1,1,5,yes
April,36,2,164,US,yes,2,Jew,Information and Communication Technologies,2,22,None,Disagree,Strongly Agree,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,5,5,4,4,4,1,1,1,1,4,no
February,18,7,168,GR,yes,5,Hindu,Information and Communication Technologies,5,23,Volunteer service,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Disagree,Strongly Agree,5,5,3,2,3,5,5,3,4,4,no
May,28,10,200,CN,yes,1,Don't know,Natural Science,3,12,None,Strongly Agree,Disagree,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,3,4,1,4,3,5,3,1,5,2,no
May,22,5,192,CO,yes,2,Roman Catholic,Business & Admin and Law,5,5,Volunteer service,Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,Disagree,Disagree,1,3,5,2,3,4,1,5,1,5,no
May,30,9,186,PL,yes,3,Jew,Business & Admin and Law,3,2,Studying school abroad,Strongly Disagree,Strongly Agree,Agree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,2,2,3,2,1,4,3,2,2,5,yes
April,37,8,150,US,no,2,Orthodox,Business & Admin and Law,4,23,Internship program,Agree,Agree,Disagree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,5,2,4,2,3,3,1,5,1,5,yes
April,30,10,165,TZ,yes,4,Roman Catholic,Arts and Humanities,3,12,Studying school abroad,Strongly Disagree,Disagree,Disagree,Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,4,2,1,2,2,5,4,5,3,5,no
March,29,5,165,CL,no,5,Orthodox,Natural Science,3,26,Internship program,Agree,Disagree,Strongly Disagree,Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,3,5,1,5,2,4,1,5,1,1,no
May,29,7,154,NP,no,2,Roman Catholic,Arts and Humanities,3,20,None,Strongly Disagree,Disagree,,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,1,5,2,5,2,1,1,1,2,5,no
July,35,4,172,PL,yes,3,Roman Catholic,Business & Admin and Law,1,6,Studying school abroad,Disagree,Strongly Agree,Disagree,Strongly Agree,Agree,Strongly Agree,Disagree,Strongly Agree,5,1,5,5,3,5,1,4,5,5,no
June,21,5,178,MG,no,,,Social Science,,,,Strongly Disagree,Strongly Agree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,2,2,5,4,1,1,2,2,5,1,yes
August,37,2,166,PH,no,3,Other Christian,Natural Science,4,22,Volunteer service,Agree,Strongly Agree,Disagree,Strongly Disagree,Agree,Strongly Disagree,Agree,Disagree,3,3,5,3,3,1,4,4,3,3,no
July,18,7,170,CN,no,5,Other,Information and Communication Technologies,2,24,Studying school abroad,Agree,Strongly Agree,Agree,Disagree,Disagree,Strongly Agree,Disagree,Agree,1,1,4,4,1,4,4,5,3,5,yes
March,31,3,154,PE,no,3,Roman Catholic,Information and Communication Technologies,1,17,Internship program,Agree,Strongly Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,1,1,5,5,2,3,5,1,3,4,no
August,32,5,194,SY,yes,3,Hindu,Information and Communication Technologies,3,17,None,,,Disagree,,Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,4,1,1,4,5,3,3,1,2,1,no
May,27,6,200,PH,,4,Do not belong to a any religion,Mathematics and Statistics,4,12,Studying school abroad,Strongly Disagree,Strongly Disagree,,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,,,,,,,,,,,,
April,,7,165,BR,no,3,Roman Catholic,Information and Communication Technologies,3,1,Internship program,Disagree,Disagree,Disagree,Strongly Agree,Agree,Agree,Strongly Agree,Disagree,2,4,3,1,2,2,2,4,3,2,yes
March,39,8,200,CN,,5,Hindu,Mathematics and Statistics,3,26,None,Strongly Agree,Agree,Strongly Disagree,Disagree,Disagree,Agree,Agree,,,,,,,,,,,,
May,24,9,179,JP,,5,Roman Catholic,Natural Science,2,25,Studying school abroad,Agree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Disagree,,,,,,,,,,,,
March,30,5,157,DK,no,5,Jew,Arts and Humanities,5,-4,None,Disagree,Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Strongly Agree,Agree,5,4,3,1,5,4,3,2,4,2,no
August,40,5,195,SE,yes,4,Jew,Arts and Humanities,4,26,None,Agree,Agree,Strongly Disagree,Disagree,Agree,Strongly Agree,Disagree,Strongly Agree,5,1,5,5,4,2,4,5,1,5,no
July,34,10,178,CN,no,4,Roman Catholic,Business & Admin and Law,4,25,Studying school abroad,Agree,Disagree,Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Disagree,2,4,3,4,3,5,5,2,3,2,no
April,24,1,193,NZ,no,1,Protestant,Arts and Humanities,2,4,Studying school abroad,Agree,Agree,Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,3,5,1,2,2,1,4,4,1,1,no
August,37,7,187,PL,yes,2,Orthodox,Natural Science,5,6,Internship program,Agree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,3,2,4,3,4,2,2,4,1,1,no
February,40,2,179,NP,no,4,Don't know,Mathematics and Statistics,1,9,Studying school abroad,Strongly Agree,Strongly Disagree,Agree,Agree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Agree,1,4,4,2,1,4,3,4,5,5,yes
May,30,9,151,SI,yes,3,Orthodox,Information and Communication Technologies,5,8,Internship program,Strongly Disagree,Strongly Agree,,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Disagree,4,3,4,2,4,2,5,5,4,1,yes
June,38,4,195,BR,no,3,Hindu,Information and Communication Technologies,5,4,None,Disagree,Disagree,Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,4,2,3,3,1,4,3,2,4,2,yes
August,39,10,179,PA,yes,3,Other,Business & Admin and Law,3,10,Internship program,,,Strongly Disagree,,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,1,1,5,1,2,5,2,2,1,3,yes
February,29,9,188,SE,no,2,Do not belong to a any religion,Arts and Humanities,5,27,Studying school abroad,,,Agree,,Strongly Agree,Disagree,Disagree,Disagree,4,2,4,1,3,5,3,4,4,3,yes
March,29,5,197,ID,no,4,Other Christian,Natural Science,3,27,Volunteer service,Agree,Disagree,,Strongly Disagree,Agree,Strongly Agree,Disagree,Strongly Disagree,3,2,3,3,3,4,2,3,1,5,yes
May,30,4,175,CN,yes,3,Orthodox,Business & Admin and Law,3,0,Internship program,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,4,1,1,5,2,4,4,4,5,1,yes
February,35,3,170,CN,yes,3,Other Christian,Natural Science,1,1,Internship program,Strongly Agree,Disagree,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,2,4,1,5,5,1,5,5,2,1,no
June,22,4,194,PH,yes,1,Orthodox,Arts and Humanities,2,18,Volunteer service,Agree,Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,Agree,Agree,2,3,1,1,1,4,3,2,5,4,no
February,38,2,156,RU,no,3,Do not belong to a any religion,Business & Admin and Law,1,25,Studying school abroad,,,Agree,,Strongly Agree,Strongly Agree,Disagree,Agree,1,3,1,4,1,3,5,4,5,2,no
July,21,8,151,CN,yes,2,Other Christian,Business & Admin and Law,4,-4,Internship program,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Agree,Disagree,Disagree,Strongly Disagree,5,3,1,2,5,4,5,1,2,1,yes
May,,3,156,ID,,,,Social Science,,,,,,Disagree,,Strongly Agree,Strongly Agree,Strongly Agree,,,,,,,,,,,,
August,30,6,188,FI,yes,2,Other,Arts and Humanities,4,24,Studying school abroad,,,Strongly Agree,,Agree,Strongly Agree,Strongly Agree,Disagree,2,4,1,3,1,5,1,1,2,4,yes
May,29,3,181,CD,yes,5,Other Christian,Social Science,3,21,Volunteer service,Agree,Strongly Disagree,Strongly Disagree,Disagree,Agree,Agree,Strongly Disagree,Agree,3,5,2,4,2,1,4,2,2,5,yes
June,35,6,187,VN,yes,5,Roman Catholic,Arts and Humanities,4,-5,Volunteer service,Agree,Agree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,5,5,2,2,2,2,5,2,4,3,yes
July,24,4,190,PE,no,,,Information and Communication Technologies,,,,Strongly Agree,Strongly Agree,,Strongly Agree,Disagree,Strongly Disagree,Disagree,Agree,2,2,3,3,5,4,5,4,1,4,no
May,28,9,157,TH,yes,4,Hindu,Information and Communication Technologies,3,17,Studying school abroad,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Disagree,Strongly Disagree,2,5,2,1,5,5,3,3,5,4,yes
April,36,10,199,PH,yes,5,Protestant,Natural Science,5,-5,Studying school abroad,Agree,Strongly Agree,Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,4,2,2,3,1,5,4,5,3,3,yes
April,37,5,157,CN,no,,,Natural Science,,,,Disagree,Strongly Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,2,4,5,2,5,2,2,1,1,5,yes
May,33,4,164,PH,yes,1,Other Christian,Business & Admin and Law,1,7,Volunteer service,Strongly Agree,Agree,,Strongly Disagree,Strongly Agree,Strongly Disagree,Disagree,Strongly Agree,3,5,3,2,3,4,1,3,4,3,no
April,,1,184,CN,no,5,Roman Catholic,Social Science,2,13,None,Agree,Strongly Agree,Strongly Disagree,Disagree,Disagree,Strongly Agree,Agree,Agree,4,1,3,2,3,5,1,1,3,2,no
June,38,10,189,FR,yes,4,Jew,Social Science,4,23,Studying school abroad,Disagree,Strongly Disagree,Disagree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,2,3,1,5,4,3,3,5,4,1,yes
